Instrument:,NETZSCH DSC 404F3 DSC404F3A-0215-M,,,,,,,
File name:,50K-Cp-Run3.ngb-ed9,,,,,,,
Calibration file:,Correction-50Kmin-PtY2O3-Sapph-1.0mm.ngb-dd9,,,,,,,
Heating rate:,50,,,,,,,
Furnace:,SiC S,,,,,,,
Crucible:,DSC/TG pan Pt-Rh,,,,,,,
Atmosphere:,<no gas>,,,,,,,
Date:,10/5/2020 11:36:38 AM (UTC-4),,,,,,,
,,,,,,,,
"Substance
","Temp.
/oC
","-----
","Cp sensitivity
","Sensit.Exp
uV/mW
","Mathem. Weighting
","Sensit. Calc.
uV/mW
",,%
Value 2,101.8,1,4.133,4.133,1,4.139,,0.1
Value 3,156.7,1,4.381,4.381,1,4.418,,0.8
Value 4,222.5,1,4.574,4.574,1,4.555,,-0.4
Value 5,310.3,1,4.499,4.499,1,4.429,,-1.6
Value 6,420,1,3.925,3.925,1,3.898,,-0.7
Value 7,529.7,1,3.059,3.059,1,3.158,,3.2
Value 8,650.3,1,2.285,2.285,1,2.352,,2.9
Value 9,760,1,1.829,1.829,1,1.769,,-3.3
Value 10,880.7,1,1.432,1.432,1,1.34,,-6.4
Value 11,1001.4,1,1.102,1.102,1,1.086,,-1.5
Value 12,1133,1,0.815,0.815,1,0.909,,11.5
