Instrument:,NETZSCH DSC 404F3 DSC404F3A-0215-M,,,,,,,
File name:,50K-Cp-Run3.ngb-ed9,,,,,,,
Calibration file:,Sapph-1.0mm_1-50Kmin-PtY2O3.ngb-dd9,,,,,,,
Heating rate:,50,,,,,,,
Furnace:,SiC S,,,,,,,
Crucible:,DSC/TG pan Pt-Rh,,,,,,,
Atmosphere:,<no gas>,,,,,,,
Date:,10/5/2020 11:41:19 AM (UTC-4),,,,,,,
,,,,,,,,
"Substance
","Temp.
/oC
","-----
","Cp sensitivity
","Sensit.Exp
uV/mW
","Mathem. Weighting
","Sensit. Calc.
uV/mW
",,%
Value 2,117.8,1,0.894,0.894,1,0.924,,3.4
Value 3,195.7,1,0.934,0.934,1,0.925,,-1.0
Value 4,289.1,1,0.938,0.938,1,0.9,,-4.1
Value 5,413.7,1,0.85,0.85,1,0.829,,-2.5
Value 6,569.4,1,0.661,0.661,1,0.704,,6.5
Value 7,725.1,1,0.538,0.538,1,0.566,,5.2
Value 8,896.3,1,0.449,0.449,1,0.431,,-4.0
Value 9,1052.1,1,0.356,0.356,1,0.338,,-5.1
Value 10,1223.3,1,0.281,0.281,1,0.268,,-4.6
Value 11,1394.6,1,0.221,0.221,1,0.22,,-0.5
Value 12,1581.4,1,0.154,0.154,1,0.179,,16.2
