Instrument:,NETZSCH DSC 404F3 DSC404F3A-0215-M,,,,,,,
File name:,50K-Cp.ngb-ed9,,,,,,,
Calibration file:,Correction-50Kmin-PtY2O3-Sapph-1.0mm.ngb-dd9,,,,,,,
Heating rate:,50,,,,,,,
Furnace:,SiC S,,,,,,,
Crucible:,DSC/TG pan Pt-Rh,,,,,,,
Atmosphere:,<no gas>,,,,,,,
Date:,10/5/2020 11:32:05 AM (UTC-4),,,,,,,
,,,,,,,,
"Substance
","Temp.
/oC
","-----
","Cp sensitivity
","Sensit.Exp
uV/mW
","Mathem. Weighting
","Sensit. Calc.
uV/mW
",,%
Value 2,102.8,1,3.812,3.812,1,3.832,,0.5
Value 3,157.6,1,4.026,4.026,1,4.051,,0.6
Value 4,223.4,1,4.158,4.158,1,4.14,,-0.4
Value 5,311,1,4.092,4.092,1,3.992,,-2.4
Value 6,420.6,1,3.487,3.487,1,3.49,,0.1
Value 7,530.2,1,2.711,2.711,1,2.821,,4.1
Value 8,650.8,1,2.044,2.044,1,2.107,,3.1
Value 9,760.4,1,1.675,1.675,1,1.601,,-4.4
Value 10,881,1,1.337,1.337,1,1.237,,-7.5
Value 11,1001.5,1,1.035,1.035,1,1.027,,-0.8
Value 12,1133,1,0.784,0.784,1,0.881,,12.4
