Instrument:,NETZSCH DSC 404F3 DSC404F3A-0215-M,,,,,,,
File name:,50K-Cp-Run2.ngb-ed9,,,,,,,
Calibration file:,Correction-50Kmin-PtY2O3-Sapph-1.0mm.ngb-dd9,,,,,,,
Heating rate:,50,,,,,,,
Furnace:,SiC S,,,,,,,
Crucible:,DSC/TG pan Pt-Rh,,,,,,,
Atmosphere:,<no gas>,,,,,,,
Date:,10/5/2020 11:35:20 AM (UTC-4),,,,,,,
,,,,,,,,
"Substance
","Temp.
/oC
","-----
","Cp sensitivity
","Sensit.Exp
uV/mW
","Mathem. Weighting
","Sensit. Calc.
uV/mW
",,%
Value 2,102.8,1,3.852,3.852,1,3.877,,0.6
Value 3,157.6,1,4.116,4.116,1,4.131,,0.4
Value 4,223.4,1,4.281,4.281,1,4.25,,-0.7
Value 5,311,1,4.188,4.188,1,4.122,,-1.6
Value 6,420.6,1,3.61,3.61,1,3.616,,0.2
Value 7,530.2,1,2.839,2.839,1,2.92,,2.9
Value 8,650.8,1,2.109,2.109,1,2.169,,2.8
Value 9,760.4,1,1.692,1.692,1,1.632,,-3.5
Value 10,881,1,1.336,1.336,1,1.243,,-7.0
Value 11,1001.5,1,1.022,1.022,1,1.017,,-0.5
Value 12,1133,1,0.774,0.774,1,0.861,,11.2
