#EXPORTTYPE:                 ,DATA SINGLE                     
#FILE:                       ,Correction-PtRh+Y2O3-3_5.ngb-bd9
#FORMAT:                     ,NETZSCH5                        
#FTYPE:                      ,ANSI                            
#IDENTITY:                   ,Corr3-5                         
#DECIMAL:                    ,POINT                           
#SEPARATOR:                  ,COMMA                           
#MTYPE:                      ,DSC                             
#INSTRUMENT:                 ,NETZSCH DSC 404F3               
#PROJECT:                    ,NRL-Ti                          
#DATE/TIME:                  ,9/4/2020 9:04:55 AM (UTC-4)     
#CORR. FILE:                 ,                                
#TEMPCAL:                    ,TCALZERO.TMX                    
#SENSITIVITY:                ,SENSZERO.EXX                    
#LABORATORY:                 ,Short Lab                       
#OPERATOR:                   ,CH                              
#REMARK:                     ,                                
#SAMPLE:                     ,PtRh+Y2O3                       
#SAMPLE MASS /mg:            ,0                               
#MATERIAL:                   ,NA                              
#REFERENCE:                  ,PtRh+Y2O3                       
#REFERENCE MASS /mg:         ,0                               
#TYPE OF CRUCIBLE:           ,DSC/TG pan Pt-Rh                
#SAMPLE CRUCIBLE MASS /mg:   ,426.9                           
#REFERENCE CRUCIBLE MASS /mg:,460.5                           
#PROTECTIVE GAS:             ,ARGON                           
#FLOW RATE /(ml/min):        ,50                              
#PURGE GAS 1:                ,<no gas>                        
#FLOW RATE 1:                ,                                
#PURGE GAS 2:                ,ARGON                           
#FLOW RATE 2 /(ml/min):      ,50                              
#M.RANGE /µV:                ,5000                            
#TAU-R:                      ,---                             
#CORR. CODE:                 ,000                             
#EXO:                        ,+1                              
#RANGE:                      ,20°C/50.0(K/min)/1000°C         
#SEGMENT:                    ,S13/24                          
#SEG. 13:                    ,20°C/50.0(K/min)/1000°C         

##Temp./°C,Time/min,DSC/uV,Sensit./(uV/mW)
 38.88000,282.00917,       7.49512,1.00000
 38.88100,282.01250,       7.49283,1.00000
 38.87500,282.01583,       7.49054,1.00000
 38.87100,282.01917,       7.48902,1.00000
 38.86600,282.02250,       7.48749,1.00000
 38.86100,282.02583,       7.48596,1.00000
 38.85600,282.02917,       7.48444,1.00000
 38.85400,282.03250,       7.48291,1.00000
 38.84700,282.03583,       7.48215,1.00000
 38.84500,282.03917,       7.48139,1.00000
 38.83900,282.04250,       7.47986,1.00000
 38.83500,282.04583,       7.47681,1.00000
 38.83000,282.04917,       7.47452,1.00000
 38.82900,282.05250,       7.47299,1.00000
 38.82300,282.05583,       7.47147,1.00000
 38.81900,282.05917,       7.47071,1.00000
 38.81600,282.06250,       7.46918,1.00000
 38.81200,282.06583,       7.46689,1.00000
 38.80900,282.06917,       7.46384,1.00000
 38.80400,282.07250,       7.46079,1.00000
 38.80000,282.07583,       7.45850,1.00000
 38.79500,282.07917,       7.45697,1.00000
 38.79300,282.08250,       7.45468,1.00000
 38.79000,282.08583,       7.45239,1.00000
 38.78400,282.08917,       7.45011,1.00000
 38.78000,282.09250,       7.44248,1.00000
 38.77700,282.09583,       7.43866,1.00000
 38.77500,282.09917,       7.43561,1.00000
 38.76900,282.10250,       7.43485,1.00000
 38.76200,282.10583,       7.43180,1.00000
 38.76100,282.10917,       7.42798,1.00000
 38.75800,282.11250,       7.42493,1.00000
 38.75400,282.11583,       7.42264,1.00000
 38.75000,282.11917,       7.41959,1.00000
 38.74500,282.12250,       7.41730,1.00000
 38.74300,282.12583,       7.41043,1.00000
 38.73700,282.12917,       7.40433,1.00000
 38.73300,282.13250,       7.40204,1.00000
 38.72800,282.13583,       7.39899,1.00000
 38.72600,282.13917,       7.38755,1.00000
 38.72000,282.14250,       7.37839,1.00000
 38.71700,282.14583,       7.37229,1.00000
 38.71200,282.14917,       7.36389,1.00000
 38.71000,282.15250,       7.35932,1.00000
 38.70800,282.15583,       7.35626,1.00000
 38.70200,282.15917,       7.35016,1.00000
 38.69900,282.16250,       7.34406,1.00000
 38.69600,282.16583,       7.33719,1.00000
 38.69200,282.16917,       7.32956,1.00000
 38.68900,282.17250,       7.32193,1.00000
 38.68500,282.17583,       7.31507,1.00000
 38.68300,282.17917,       7.30744,1.00000
 38.67800,282.18250,       7.29904,1.00000
 38.67400,282.18583,       7.29065,1.00000
 38.67300,282.18917,       7.28226,1.00000
 38.66900,282.19250,       7.27463,1.00000
 38.66700,282.19583,       7.26471,1.00000
 38.66300,282.19917,       7.25327,1.00000
 38.65800,282.20250,       7.24030,1.00000
 38.65400,282.20583,       7.22504,1.00000
 38.65200,282.20917,       7.20978,1.00000
 38.65000,282.21250,       7.19681,1.00000
 38.64800,282.21583,       7.18689,1.00000
 38.64300,282.21917,       7.17545,1.00000
 38.63800,282.22250,       7.16324,1.00000
 38.63800,282.22583,       7.15180,1.00000
 38.63400,282.22917,       7.13959,1.00000
 38.63300,282.23250,       7.12586,1.00000
 38.63100,282.23583,       7.11060,1.00000
 38.62800,282.23917,       7.09458,1.00000
 38.62500,282.24250,       7.07855,1.00000
 38.62200,282.24583,       7.06253,1.00000
 38.61600,282.24917,       7.04575,1.00000
 38.61600,282.25250,       7.02896,1.00000
 38.61400,282.25583,       7.01142,1.00000
 38.60900,282.25917,       6.98776,1.00000
 38.60800,282.26250,       6.96945,1.00000
 38.60400,282.26583,       6.95191,1.00000
 38.60200,282.26917,       6.93436,1.00000
 38.60200,282.27250,       6.91605,1.00000
