#EXPORTTYPE:                 ,DATA SINGLE                     
#FILE:                       ,Correction-PtRh+Y2O3-3_8.ngb-bd9
#FORMAT:                     ,NETZSCH5                        
#FTYPE:                      ,ANSI                            
#IDENTITY:                   ,Corr3-8                         
#DECIMAL:                    ,POINT                           
#SEPARATOR:                  ,COMMA                           
#MTYPE:                      ,DSC                             
#INSTRUMENT:                 ,NETZSCH DSC 404F3               
#PROJECT:                    ,NRL-Ti                          
#DATE/TIME:                  ,9/10/2020 9:23:31 AM (UTC-4)    
#CORR. FILE:                 ,                                
#TEMPCAL:                    ,TCALZERO.TMX                    
#SENSITIVITY:                ,SENSZERO.EXX                    
#LABORATORY:                 ,Short Lab                       
#OPERATOR:                   ,CH                              
#REMARK:                     ,                                
#SAMPLE:                     ,PtRh+Y2O3                       
#SAMPLE MASS /mg:            ,0                               
#MATERIAL:                   ,NA                              
#REFERENCE:                  ,PtRh+Y2O3                       
#REFERENCE MASS /mg:         ,0                               
#TYPE OF CRUCIBLE:           ,DSC/TG pan Pt-Rh                
#SAMPLE CRUCIBLE MASS /mg:   ,427.3                           
#REFERENCE CRUCIBLE MASS /mg:,460.7                           
#PROTECTIVE GAS:             ,ARGON                           
#FLOW RATE /(ml/min):        ,50                              
#PURGE GAS 1:                ,<no gas>                        
#FLOW RATE 1:                ,                                
#PURGE GAS 2:                ,ARGON                           
#FLOW RATE 2 /(ml/min):      ,50                              
#M.RANGE /µV:                ,5000                            
#TAU-R:                      ,---                             
#CORR. CODE:                 ,000                             
#EXO:                        ,+1                              
#RANGE:                      ,20°C/50.0(K/min)/1000°C         
#SEGMENT:                    ,S13/24                          
#SEG. 13:                    ,20°C/50.0(K/min)/1000°C         

##Temp./°C,Time/min,DSC/uV,Sensit./(uV/mW)
 39.35300,282.01333,       7.78122,1.00000
 39.34800,282.01667,       7.78046,1.00000
 39.34500,282.02000,       7.77893,1.00000
 39.34000,282.02333,       7.77893,1.00000
 39.33700,282.02667,       7.77741,1.00000
 39.33200,282.03000,       7.77588,1.00000
 39.32700,282.03333,       7.77359,1.00000
 39.32300,282.03667,       7.77130,1.00000
 39.31700,282.04000,       7.76901,1.00000
 39.31600,282.04333,       7.76673,1.00000
 39.31000,282.04667,       7.76444,1.00000
 39.31000,282.05000,       7.76215,1.00000
 39.30500,282.05333,       7.75604,1.00000
 39.30100,282.05667,       7.75147,1.00000
 39.29500,282.06000,       7.74842,1.00000
 39.29300,282.06333,       7.74765,1.00000
 39.28600,282.06667,       7.74689,1.00000
 39.28300,282.07000,       7.74613,1.00000
 39.28100,282.07333,       7.74384,1.00000
 39.27600,282.07667,       7.74079,1.00000
 39.27200,282.08000,       7.73773,1.00000
 39.26700,282.08333,       7.73545,1.00000
 39.26300,282.08667,       7.73239,1.00000
 39.25900,282.09000,       7.72934,1.00000
 39.25400,282.09333,       7.72705,1.00000
 39.25100,282.09667,       7.72400,1.00000
 39.25100,282.10000,       7.72019,1.00000
 39.24400,282.10333,       7.71713,1.00000
 39.23700,282.10667,       7.71408,1.00000
 39.23600,282.11000,       7.71103,1.00000
 39.23100,282.11333,       7.70798,1.00000
 39.22600,282.11667,       7.70493,1.00000
 39.22300,282.12000,       7.70111,1.00000
 39.21900,282.12333,       7.69348,1.00000
 39.21600,282.12667,       7.68662,1.00000
 39.21300,282.13000,       7.68280,1.00000
 39.20900,282.13333,       7.67823,1.00000
 39.20400,282.13667,       7.67288,1.00000
 39.20000,282.14000,       7.66907,1.00000
 39.19600,282.14333,       7.66373,1.00000
 39.19300,282.14667,       7.65915,1.00000
 39.19100,282.15000,       7.65457,1.00000
 39.18700,282.15333,       7.64923,1.00000
 39.18200,282.15667,       7.64389,1.00000
 39.17800,282.16000,       7.63932,1.00000
 39.17400,282.16333,       7.63397,1.00000
 39.17300,282.16667,       7.62558,1.00000
 39.16800,282.17000,       7.61872,1.00000
 39.16500,282.17333,       7.61338,1.00000
 39.15900,282.17667,       7.60727,1.00000
 39.15700,282.18000,       7.60117,1.00000
 39.15300,282.18333,       7.59201,1.00000
 39.14800,282.18667,       7.58209,1.00000
 39.14700,282.19000,       7.57294,1.00000
 39.14300,282.19333,       7.56226,1.00000
 39.14200,282.19667,       7.55234,1.00000
 39.13400,282.20000,       7.54013,1.00000
 39.13400,282.20333,       7.52869,1.00000
 39.12900,282.20667,       7.51572,1.00000
 39.12800,282.21000,       7.50427,1.00000
 39.12000,282.21333,       7.49436,1.00000
 39.12100,282.21667,       7.48444,1.00000
 39.11500,282.22000,       7.47376,1.00000
 39.11500,282.22333,       7.46308,1.00000
 39.11300,282.22667,       7.45316,1.00000
 39.11100,282.23000,       7.44095,1.00000
 39.10600,282.23333,       7.42417,1.00000
 39.10500,282.23667,       7.40891,1.00000
 39.10100,282.24000,       7.39365,1.00000
 39.09600,282.24333,       7.37839,1.00000
 39.09400,282.24667,       7.36466,1.00000
 39.09300,282.25000,       7.34940,1.00000
 39.08900,282.25333,       7.33109,1.00000
 39.08800,282.25667,       7.31125,1.00000
 39.08500,282.26000,       7.29523,1.00000
 39.08200,282.26333,       7.27921,1.00000
 39.08400,282.26667,       7.26242,1.00000
 39.07800,282.27000,       7.24030,1.00000
 39.07500,282.27333,       7.21588,1.00000
 39.07400,282.27667,       7.19605,1.00000
 39.07100,282.28000,       7.17621,1.00000
 39.06800,282.28333,       7.15866,1.00000
 39.06600,282.28667,       7.13730,1.00000
 39.06400,282.29000,       7.11594,1.00000
 39.06200,282.29333,       7.09381,1.00000
 39.05900,282.29667,       7.07245,1.00000
 39.05800,282.30000,       7.05109,1.00000
 39.05600,282.30333,       7.02820,1.00000
 39.05600,282.30667,       7.00379,1.00000
 39.05200,282.31000,       6.97632,1.00000
 39.05200,282.31333,       6.94809,1.00000
 39.05200,282.31667,       6.92291,1.00000
 39.04800,282.32000,       6.89774,1.00000
 39.04700,282.32333,       6.87180,1.00000
 39.04500,282.32667,       6.84586,1.00000
 39.04300,282.33000,       6.81687,1.00000
 39.04100,282.33333,       6.78406,1.00000
 39.04200,282.33667,       6.75125,1.00000
 39.03800,282.34000,       6.72150,1.00000
 39.03900,282.34333,       6.69251,1.00000
 39.03800,282.34667,       6.66275,1.00000
 39.03700,282.35000,       6.62842,1.00000
 39.03900,282.35333,       6.59256,1.00000
 39.03700,282.35667,       6.55594,1.00000
 39.03500,282.36000,       6.52008,1.00000
 39.03400,282.36333,       6.48346,1.00000
 39.03400,282.36667,       6.44837,1.00000
 39.03400,282.37000,       6.41403,1.00000
 39.03300,282.37333,       6.37894,1.00000
 39.03300,282.37667,       6.34232,1.00000
 39.03200,282.38000,       6.30264,1.00000
 39.03100,282.38333,       6.26145,1.00000
 39.03000,282.38667,       6.22177,1.00000
 39.03200,282.39000,       6.18210,1.00000
 39.03100,282.39333,       6.13861,1.00000
 39.03200,282.39667,       6.09665,1.00000
 39.03100,282.40000,       6.05316,1.00000
 39.03100,282.40333,       6.00662,1.00000
 39.03400,282.40667,       5.96008,1.00000
 39.03200,282.41000,       5.91202,1.00000
 39.03000,282.41333,       5.86548,1.00000
 39.03200,282.41667,       5.81818,1.00000
 39.03400,282.42000,       5.77088,1.00000
 39.03300,282.42333,       5.72357,1.00000
 39.03400,282.42667,       5.67703,1.00000
 39.03500,282.43000,       5.63050,1.00000
 39.03700,282.43333,       5.57785,1.00000
 39.03800,282.43667,       5.52216,1.00000
